DrugName,Superscript,PublishLink,EditLink
JUUL,jj,https://docs.google.com/document/d/e/2PACX-1vRXV4kkiN5tGE1iZn9HJQ3wZ1HOSRUY7WiP3uhCKiq-TP6D9KEd3uTQUnyAy7iOZRd4F2f3YuALvAHO/pub?embedded=true,https://docs.google.com/document/d/1irykpXvBNSQ7FIt5b36RKDPWVIo6BukZTPsRFeLMrPY/edit?usp=sharing
Ketamine,"n,x",https://docs.google.com/document/d/e/2PACX-1vRhLOGtTTBqxUK8JcWvcAnWsN8kOFcL28Wzujn5rF8boSgi6BRF7Sqq1Skr1uBcOcp7_nZNBpTVmkjX/pub?embedded=true,https://docs.google.com/document/d/1N0DB74z99MNh6IvC_f6KDkrHVciksdN0uS-oDkR5Ip4/edit?usp=sharing
Kreteks,"n,o",https://docs.google.com/document/d/e/2PACX-1vTv0OEaVHFlo98QmWgw16UVbrp8sLXcls2EmwVqidhtca0u99Bk4VqDPbT8CUxLCtktVhJiSTlNCrGo/pub?embedded=true,https://docs.google.com/document/d/16QtwUkUupXEP2fl29onVObuZjUcvdgy8pfp_iJGBNV0/edit?usp=sharing
Large Cigars,"ii,oo",https://docs.google.com/document/d/e/2PACX-1vTno08WlTWXFpw-Ux-sh-OCX2JLJTqhstbQAbDjHOhjH1I_2Uolfo5DPe2aTxjzXAueny1MA-poIaUy/pub?embedded=true,https://docs.google.com/document/d/1kV46NdhsRoXOLVdiAUHVLCuqTkKg8f9Rl9Bc8Q5Etis/edit?usp=sharing
Liquor,oo,https://docs.google.com/document/d/e/2PACX-1vQE3WntEbubbC2ICAmjklmiiEgKYR1RJQJgJTuUxbtefgXkjC3HJeORrPemj3dkHsXkIi-bwpVRAQ99/pub?embedded=true,https://docs.google.com/document/d/1Kci_vc0BobWRY1qxQljh7B8V7w7YuyFrfo-CCjS5wUY/edit?usp=sharing
LSD,b,https://docs.google.com/document/d/e/2PACX-1vQbKtiqYseVi-B0M1gnJ6PGMyRNAorErh7I3kXR_pB9iyVJZ3wZaiAVu0a4DhJERXcob5erZiFTgiQy/pub?embedded=true,https://docs.google.com/document/d/1dZ_3DYPgL_fm0jdHYpuf2t-JlSkET_XSaUioa-4pvq0/edit?usp=sharing
Marijuana (Cannabis),"bb,ll",https://docs.google.com/document/d/e/2PACX-1vQY1BIQQo-6Q-vw1wtRB4iQ85UvTvIIdOS-DhcLHrU-7ahX3_Lhp9jsVEVxfnZ3nXnwH5Oy2XnCORZ9/pub?embedded=true,https://docs.google.com/document/d/1qT6wZBv_X32XLhmPTsj4qt65SwhWuw7S7M-nhE9Lx6A/edit?usp=sharing
Methamphetamine,o,https://docs.google.com/document/d/e/2PACX-1vQZ6RSp-dmyrYZFmII4quGoZQyflhPVgKUeKmNCwdpVZEvUStrlejEOyzlGkQnbGoeAJMMGDSdkexJi/pub?embedded=true,https://docs.google.com/document/d/1xSSGVPaZ65TcIasQ1dFecm3hAdP1K5Me-JZyWps4How/edit?usp=sharing
Methaqualone (Quaaludes),"e,k",https://docs.google.com/document/d/e/2PACX-1vT2Nj0FwDxzKWUtTG9u2h1VhCsFoWS478duymg_OBPqsYx6xJZFKK4cf1GVYWb3IQ8IKtqyQ7IG-_sz/pub?embedded=true,https://docs.google.com/document/d/1QM4BWHtDA7B_sD0Mxg4mIg-XRmU1-tMJDdIP1PJAruk/edit?usp=sharing
Medical Marijuana (Cannabis),,https://docs.google.com/document/d/e/2PACX-1vSj_m6VyAmSMZMSIjXO5BSTdUiqhce6j5z60MnhL5ysfSYMjjQFVTqZxmpvjqENlWxxIs-N4OE6ZB3t/pub?embedded=true,https://docs.google.com/document/d/12wlLIsaYqFVbgKYt0nDmI7hZ8q1bxthDSdHIwXwlFps/edit?usp=sharing
Narcotics other than Heroin,"m,n",https://docs.google.com/document/d/e/2PACX-1vQNqjFb9SsmVN1QzB7TmYvwNXlUqIlIySwtnDCx_ZpFjWegkoagotgMugSM_H9htT9CeVa42mmIKWWz/pub?embedded=true,https://docs.google.com/document/d/1rxbv3h8uEUyK18PXhf2Hkm1bk_Jz-c_Mvr8QQ52uVio/edit?usp=sharing
Nicotine Pouch,,https://docs.google.com/document/d/e/2PACX-1vS4GcyiJTMADNQ_94m20EuT58vRJ-xkShFIbTrNlP-r038utpM75i06-tW1nqaIDzG77Bs6bx4J0v2i/pub?embedded=true,https://docs.google.com/document/d/1vNrLtGGANiFrmSA2Yjq77lF1Oed4g3T61r-QYDrbGcc/edit?usp=sharing
